item_id,order_id,drug_id,quantity,unit_price,line_total
1,1,15,1,54.54,54.54
2,1,34,4,34.82,139.28
3,1,50,3,15.92,47.76
4,2,18,3,69.38,208.14
5,2,14,3,36.29,108.87
6,3,33,1,45.93,45.93
7,4,45,3,74.76,224.28000000000003
8,4,7,1,16.16,16.16
9,5,6,2,23.52,47.04
10,5,19,1,17.62,17.62
11,5,36,4,26.95,107.8
12,5,26,1,19.62,19.62
13,6,49,1,25.98,25.98
14,6,11,1,43.47,43.47
15,7,32,2,18.47,36.94
16,7,53,4,44.1,176.4
17,7,28,2,62.55,125.1
18,7,21,2,89.87,179.74
19,7,7,2,15.82,31.64
20,8,38,1,72.37,72.37
21,8,31,4,191.22,764.88
22,8,26,1,18.88,18.88
23,9,55,4,30.18,120.72
24,9,26,3,18.85,56.550000000000004
25,9,52,2,21.46,42.92
26,9,31,3,173.46,520.38
27,9,40,2,19.54,39.08
28,10,27,4,21.38,85.52
29,10,49,3,26.48,79.44
30,10,5,3,41.11,123.33
31,10,30,3,100.37,301.11
32,11,52,3,23.27,69.81
33,11,15,4,53.26,213.04
34,11,23,2,103.06,206.12
35,12,27,4,22.2,88.8
36,13,39,4,30.82,123.28
37,13,40,4,19.63,78.52
38,13,2,1,93.31,93.31
39,14,27,4,22.25,89.0
40,14,6,3,22.66,67.98
41,14,22,2,229.16,458.32
42,14,17,1,152.85,152.85
43,15,34,2,31.58,63.16
44,16,31,4,175.0,700.0
45,16,44,4,72.38,289.52
46,17,16,4,377.95,1511.8
47,18,15,4,56.99,227.96
48,18,55,4,31.52,126.08
49,18,38,4,75.75,303.0
50,18,34,4,30.85,123.4
51,19,48,2,94.57,189.14
52,19,8,3,119.33,357.99
53,20,12,3,69.96,209.88
54,20,54,1,22.95,22.95
55,20,10,3,17.87,53.61
56,21,20,3,14.23,42.69
57,21,13,1,51.13,51.13
58,21,27,4,21.01,84.04
59,21,28,1,63.23,63.23
60,21,17,1,159.04,159.04
61,22,19,3,18.01,54.03
62,22,45,1,65.11,65.11
63,22,54,3,23.47,70.41
64,23,38,3,72.77,218.31
65,23,21,4,86.04,344.16
66,23,37,2,56.06,112.12
67,23,2,1,91.16,91.16
68,24,33,3,48.66,145.98
69,25,43,1,90.25,90.25
70,25,11,2,42.28,84.56
71,26,21,4,84.4,337.6
72,26,23,2,102.35,204.7
73,26,2,3,92.85,278.54999999999995
74,27,39,2,30.71,61.42
75,28,48,1,97.33,97.33
76,28,47,4,48.9,195.6
77,28,9,3,59.53,178.59
78,28,20,2,14.85,29.7
79,29,29,2,33.32,66.64
80,29,9,3,54.59,163.77
81,30,20,4,14.14,56.56
82,30,51,2,36.95,73.9
83,30,27,1,23.38,23.38
84,30,25,2,28.97,57.94
85,30,49,2,24.74,49.48
86,31,38,1,71.88,71.88
87,31,18,4,72.41,289.64
88,32,13,4,51.91,207.64
89,32,42,2,65.42,130.84
90,32,54,2,21.12,42.24
91,32,21,2,82.39,164.78
92,32,16,4,379.48,1517.92
93,33,47,3,44.72,134.16
94,33,7,2,15.0,30.0
95,34,13,2,47.84,95.68
