order_date,total_orders,revenue,avg_order_value
2022-01-01,6,3795.22,632.5366666666666
2022-01-02,4,1417.1499999999999,354.28749999999997
2022-01-03,8,3651.15,456.39375
2022-01-04,8,4906.6,613.325
2022-01-05,6,2536.66,422.77666666666664
2022-01-06,7,5031.83,718.8328571428572
2022-01-07,8,3719.12,464.89
2022-01-08,2,348.08,174.04
2022-01-09,8,3153.2400000000002,394.15500000000003
2022-01-10,6,3283.13,547.1883333333334
2022-01-11,2,452.73,226.365
2022-01-12,10,2974.47,297.447
2022-01-13,7,2274.67,324.95285714285717
2022-01-14,8,1618.52,202.315
2022-01-15,5,2977.91,595.582
2022-01-16,8,4770.19,596.27375
2022-01-17,5,1695.18,339.036
2022-01-18,10,6908.549999999999,690.8549999999999
2022-01-19,10,5370.56,537.056
2022-01-20,2,442.98,221.49
2022-01-21,2,848.38,424.19
2022-01-22,4,1533.94,383.485
2022-01-23,11,4392.23,399.2936363636363
2022-01-24,2,488.79,244.395
2022-01-25,8,4012.31,501.53875
2022-01-26,9,3089.68,343.29777777777775
2022-01-27,11,3745.26,340.47818181818184
2022-01-28,4,1755.1399999999999,438.78499999999997
2022-01-29,9,3797.51,421.9455555555556
2022-01-30,7,2721.55,388.79285714285714
2022-01-31,8,2826.11,353.26375
2022-02-01,4,1231.6,307.9
2022-02-02,10,3188.5,318.85
2022-02-03,7,5025.0199999999995,717.8599999999999
2022-02-04,7,2977.07,425.2957142857143
2022-02-05,3,469.45000000000005,156.48333333333335
2022-02-06,5,1859.25,371.85
2022-02-07,4,1068.44,267.11
2022-02-08,7,5289.05,755.5785714285714
2022-02-09,10,5563.98,556.3979999999999
2022-02-10,8,2224.97,278.12125
2022-02-11,10,4579.57,457.957
2022-02-12,10,2767.05,276.70500000000004
2022-02-13,10,4657.2,465.71999999999997
2022-02-14,4,3629.81,907.4525
2022-02-15,8,2973.54,371.6925
2022-02-16,7,2063.67,294.81
2022-02-17,7,3063.52,437.6457142857143
2022-02-18,9,5008.72,556.5244444444445
2022-02-19,7,3163.9,451.9857142857143
2022-02-20,9,3838.96,426.55111111111114
2022-02-21,5,1945.43,389.086
2022-02-22,15,7294.88,486.32533333333333
2022-02-23,6,1978.26,329.71
2022-02-24,9,3658.94,406.5488888888889
2022-02-25,4,1595.72,398.93
2022-02-26,3,474.13,158.04333333333332
2022-02-27,8,2433.05,304.13125
2022-02-28,6,1664.47,277.4116666666667
2022-03-01,10,3657.3399999999997,365.734
2022-03-02,9,1763.4,195.93333333333334
2022-03-03,4,703.64,175.91
2022-03-04,7,2053.2999999999997,293.32857142857137
2022-03-05,7,1853.46,264.78000000000003
2022-03-06,7,2320.83,331.54714285714283
2022-03-07,12,2630.59,219.21583333333334
2022-03-08,4,763.8299999999999,190.95749999999998
2022-03-09,10,1780.96,178.096
2022-03-10,8,2329.84,291.23
