Category,Week,Forecasted_Qty,Week_Ahead
Allergy,2026-05-11,14.0,1
Allergy,2026-05-18,13.0,2
Allergy,2026-05-25,17.0,3
Allergy,2026-06-01,20.0,4
Analgesics,2026-05-11,32.0,1
Analgesics,2026-05-18,35.0,2
Analgesics,2026-05-25,34.0,3
Analgesics,2026-06-01,36.0,4
Antibiotics,2026-05-11,28.0,1
Antibiotics,2026-05-18,30.0,2
Antibiotics,2026-05-25,26.0,3
Antibiotics,2026-06-01,33.0,4
Cardiac,2026-05-11,48.0,1
Cardiac,2026-05-18,51.0,2
Cardiac,2026-05-25,54.0,3
Cardiac,2026-06-01,69.0,4
Derma,2026-05-11,18.0,1
Derma,2026-05-18,21.0,2
Derma,2026-05-25,20.0,3
Derma,2026-06-01,30.0,4
Diabetes,2026-05-11,16.0,1
Diabetes,2026-05-18,15.0,2
Diabetes,2026-05-25,13.0,3
Diabetes,2026-06-01,20.0,4
Gastro,2026-05-11,38.0,1
Gastro,2026-05-18,42.0,2
Gastro,2026-05-25,42.0,3
Gastro,2026-06-01,59.0,4
Hormones,2026-05-11,10.0,1
Hormones,2026-05-18,9.0,2
Hormones,2026-05-25,9.0,3
Hormones,2026-06-01,9.0,4
Neuro,2026-05-11,26.0,1
Neuro,2026-05-18,25.0,2
Neuro,2026-05-25,28.0,3
Neuro,2026-06-01,44.0,4
Respiratory,2026-05-11,10.0,1
Respiratory,2026-05-18,11.0,2
Respiratory,2026-05-25,10.0,3
Respiratory,2026-06-01,12.0,4
Steroids,2026-05-04,8.0,1
Steroids,2026-05-11,8.0,2
Steroids,2026-05-18,8.0,3
Steroids,2026-05-25,10.0,4
Supplements,2026-05-11,13.0,1
Supplements,2026-05-18,14.0,2
Supplements,2026-05-25,14.0,3
Supplements,2026-06-01,20.0,4
